level,pcode,name,center_lat,center_lon
adm4,MMR001012013,Khon Sint,24.39270791,97.33727509
adm4,MMR001012014,Man Nawng,24.4534367,97.32902638
adm4,MMR001012015,Hnin Ei,24.51230437,97.29564418
adm4,MMR001012016,Pang Choe Hai,24.45174402,97.38501735
adm4,MMR001012017,Ma Khwei,24.49011145,97.34663283
adm4,MMR001012018,Nawng Kun (Nawng Kawn),24.47901499,97.37624653
adm4,MMR001012019,Nawng Kon,24.51653608,97.3644765
adm4,MMR001012020,Mong Hkat,24.45606976,97.43534705
adm4,MMR001012021,Tar Li,24.47901499,97.41364014
adm4,MMR001012022,Nwan Lang,24.49368489,97.45687003
adm4,MMR001012023,Zee Wone Gawt,24.46848275,97.50234374
adm4,MMR001012024,Sein Long,24.22705475,97.5098816
adm4,MMR001012025,Pang Mu,24.27194373,97.55376855
adm4,MMR001012026,Kon Pyi,24.28618419,97.47163991
adm4,MMR001012027,Sein Long Kaji,24.29323784,97.55969012
adm4,MMR001012028,Ka Le Chet,24.24651898,97.58555274
adm4,MMR001012029,Man Maw Kawng,24.33664174,97.59402795
adm4,MMR001012030,Ba Lawng Kawng,24.34100424,97.64654752
adm4,MMR001012031,Bum Ka Htaung,24.40604165,97.59642009
adm4,MMR001012032,Kun Shee (Pun Shee),24.41643025,97.66037728
adm4,MMR001012033,Kawng Hsa,24.26781294,97.74232528
adm4,MMR001012034,Prang Ngawn,24.2315465,97.72612998
adm4,MMR001012035,Bum Tawm,24.2734208,97.69053639
adm4,MMR001012036,Lawt Hkum,24.28744376,97.70828304
adm4,MMR001012037,Hka Rein Mu Dan,24.27514101,97.63221626
adm4,MMR001012038,Pang Hkat,24.20908778,97.63787082
adm4,MMR001012039,Wein Hkam,24.22474465,97.68447386
adm4,MMR001012040,Ma Kyang,24.67198058,97.46859391
adm4,MMR001012041,Ding Ga Yang,24.6142318,97.51588457
adm4,MMR001012042,In Baw Mong Kyin,24.60474537,97.56218195
